"Data","Último","Abertura","Máxima","Mínima","Var%"
"23.11.2018","3,8283","3,8035","3,8306","3,7948","0,63%"
"22.11.2018","3,8045","3,7904","3,8269","3,7902","0,18%"
"21.11.2018","3,7976","3,7560","3,8034","3,7560","1,08%"
"20.11.2018","3,7572","3,7563","3,7572","3,7563","0,01%"
"19.11.2018","3,7570","3,7473","3,7736","3,7427","0,36%"
"16.11.2018","3,7435","3,7723","3,7827","3,7296","-1,08%"
"15.11.2018","3,7843","3,7843","3,7843","3,7843","0,01%"
"14.11.2018","3,7841","3,8032","3,8194","3,7661","-0,50%"
"13.11.2018","3,8032","3,7561","3,8313","3,7529","0,95%"
"12.11.2018","3,7675","3,7487","3,7696","3,7361","0,91%"
"09.11.2018","3,7335","3,7610","3,7750","3,7252","-0,72%"
"08.11.2018","3,7605","3,7297","3,7642","3,7158","0,77%"
"07.11.2018","3,7318","3,7618","3,7874","3,7220","-0,79%"
"06.11.2018","3,7615","3,7270","3,7701","3,7237","0,95%"
"05.11.2018","3,7262","3,6968","3,7326","3,6910","0,80%"
"02.11.2018","3,6968","3,7039","3,7039","3,6963","-0,12%"
"01.11.2018","3,7012","3,7231","3,7241","3,6799","-0,56%"
"31.10.2018","3,7220","3,6969","3,7445","3,6854","0,67%"
"30.10.2018","3,6974","3,7175","3,7359","3,6768","-0,57%"
"29.10.2018","3,7187","3,6437","3,7226","3,5819","2,08%"
"26.10.2018","3,6429","3,7059","3,7302","3,6395","-1,70%"
"25.10.2018","3,7058","3,7361","3,7361","3,6818","-0,78%"
"24.10.2018","3,7350","3,6950","3,7475","3,6827","1,10%"
"23.10.2018","3,6942","3,6883","3,7237","3,6856","0,22%"
"22.10.2018","3,6860","3,6954","3,7214","3,6698","-0,78%"
"19.10.2018","3,7149","3,7220","3,7273","3,6875","-0,18%"
"18.10.2018","3,7216","3,6875","3,7313","3,6726","0,92%"
"17.10.2018","3,6875","3,7242","3,7460","3,6640","-1,01%"
"16.10.2018","3,7252","3,7355","3,7363","3,6913","-0,28%"
"15.10.2018","3,7357","3,7561","3,7645","3,7125","-1,25%"
"12.10.2018","3,7830","3,7838","3,7838","3,7824","0,05%"
"11.10.2018","3,7812","3,7565","3,7858","3,7159","0,68%"
"10.10.2018","3,7555","3,7163","3,7687","3,7109","1,08%"
"09.10.2018","3,7155","3,7818","3,7911","3,7005","-1,68%"
"08.10.2018","3,7790","3,7275","3,7826","3,7094","-1,62%"
"05.10.2018","3,8413","3,8742","3,8950","3,8376","-0,86%"
"04.10.2018","3,8745","3,9017","3,9355","3,8732","-0,69%"
"03.10.2018","3,9015","3,9415","3,9415","3,8220","-1,01%"
"02.10.2018","3,9414","4,0186","4,0188","3,9058","-1,91%"
"01.10.2018","4,0181","4,0500","4,0633","4,0037","-0,77%"
